57,57,3,Taiga,Nakamura,Taiga Nakamura,ÿ1995-09-22,,110,140,113,121,cycTaiga Nakamura.jpeg,,,,,,12/16/2019,Admin
58,58,3,Sanjaya,Rajbahak,Sanjaya Rajbahak,3/29/94,,110,140,113,121,cycSanjaya RajBahak.jpeg,,1,,,,12/16/2019,Admin
59,59,3,Abishek,Baral,Abishek Baral,ÿ2000-04-09,,110,139,113,121,cycAbishek Baral.jpeg,,,,,,12/16/2019,Admin
60,60,3,Sunil,Bal,Sunil Bal,ÿ1998-01-01,,110,141,113,121,cycSunil Bal.jpeg,,,,,,12/16/2019,Admin
61,61,3,Alan,Neupane,Alan Neupane,ÿ1996-06-24,,110,139,113,121,cycAlan Neupane.jpeg,,,1,,,12/16/2019,Admin
62,62,3,Jenish,Prajapati,Jenish Prajapati,ÿ2000-09-21,,110,142,113,121,cycJenish Prajapati.jpeg,,,,,,12/16/2019,Admin
63,63,3,Purna Bahadur,Gurung,Purna Bahadur Gurung,ÿ1998-02-24,,110,,113,121,cycPurna B Gurung .jpeg,,,,,,12/16/2019,Admin
64,64,3,Dinesh,Rajbanshi,Dinesh Rajbanshi,ÿ1998-04-04,,110,140,113,121,cycDinesh Rajbhanshi.jpeg,,,,,,12/16/2019,Admin
65,65,3,Nitin,Thapa,Nitin Thapa,ÿ2002-02-07,,110,141,113,121,cycNitin Thapa.jpeg,,,,,,12/16/2019,Admin
66,66,3,Susan,Lama,Susan Lama,ÿ2000-09-21,,110,,113,121,cycSusan Lama .jpeg,,,,,,12/16/2019,Admin
67,67,3,Karma,Sherpa,Karma Sherpa,ÿ2002-12-27,,110,,113,121,cycKarma Sherpa.jpeg,,,,,,12/16/2019,Admin
68,68,3,Abishek,Limbu,Abishek Limbu,12/13/94,,110,140,113,121,cycAbishek Limbu.jpeg,,,,,,12/16/2019,Admin
69,69,3,Amir,Shrestha,Amir Shrestha,ÿ1991-12-30,,110,141,113,121,cycAmir Shrestha.jpeg,,1,,,1,12/16/2019,Admin
70,70,3,Chetan,Kumar Tharu,Chetan Kumar Tharu,ÿ1991-02-17,,110,,113,121,cycChetan K Tharu.jpeg,,,,,,12/16/2019,Admin
71,71,3,Gaurab,Budhathoki,Gaurab Budhathoki,ÿ1998-02-14,,110,140,113,121,cycGaurab Budhathoki.jpeg,,,,,,12/16/2019,Admin
72,72,3,Hemant,Thapa Magar,Hemant Thapa Magar,1/7/98,,110,141,113,121,cycHemant T Magar.jpeg,,,,,,12/16/2019,Admin
73,73,3,Narendra,Chaudhary,Narendra Chaudhary,5/18/97,,110,140,113,121,cycNarendra Chaudhary.jpeg,,,,,,12/16/2019,Admin
74,74,3,Santosh,Mahat,Santosh Mahat, 2002-01-21,,110,140,113,121,cycSantosh Mahat .jpeg,,,,,,12/16/2019,Admin
75,75,3,Santosh,Shahukhala (Captiain),Santosh Shahukhala (Captiain),1/10/88,,110,142,113,121,cycSantosh Shahukhala.jpeg,3,,,,,12/16/2019,Admin
76,76,3,Sunil,Khadka,Sunil Khadka,ÿ1994-11-07,,110,,113,121,cycSunil Khadka.jpeg,,,,,,12/16/2019,Admin
77,77,3,Sunny,Byanjankar,Sunny Byanjankar,4/20/01,,110,,113,121,cycSunny Byanjankar.jpeg,,,,,,12/16/2019,Admin
78,78,3,Tshring,Gurung,Tshring Gurung,ÿ1998-02-21,,110,,113,121,cycTshring Gurung.jpeg,,,,,,12/16/2019,Admin
79,79,3,Sushil Kumar,Yadav,Sushil Kumar Yadav,ÿ1998-10-05,,110,,113,121,cycSushil K Yadav.jpeg,,,,,,12/16/2019,Admin
80,80,4,Prezen,Tamang,Prezen Tamang,ÿ2000-07-14,,110,,113,121,fcPrezen Tamang.jpeg,,,,,,12/16/2019,Admin
81,81,4,Sojit,Gurung,Sojit Gurung,ÿ2000-01-28,,110,139,113,121,fcSojit Gurung.jpeg,,,,,,12/16/2019,Admin
82,82,4,Aashish,Kc,Aashish Kc,ÿ2000-01-01,,110,,113,121,fcAashish Kc.jpeg,,,,,,12/16/2019,Admin
83,83,4,Asim,Bhusal,Asim Bhusal,ÿ2002-03-14,,110,,113,121,fcAsim Bhusal.jpeg,,,,,,12/16/2019,Admin
84,84,4,Bikash,Lama,Bikash Lama,ÿ1996-05-30,,110,142,113,121,fcBikash Lama.jpeg,,,,,,12/16/2019,Admin
85,85,4,Felipe Martins De,Sauza,Felipe Martins De Sauza,19977-12-26,Sao Paulo,110,141,120,121,fcFelipe D M  Sauza.jpeg,,,,,1,12/16/2019,Admin
86,85,4,Dev,Limbu,Dev Limbu,ÿ1998-02-28,,110,139,113,121,fcDev Limbu.jpeg,,,,,,12/16/2019,Admin
87,86,4,Rumesh,Bartaula,Rumesh Bartaula,ÿ2000-03-07,,110,142,113,121,fcRumesh Bartaula.jpeg,,,,,,12/16/2019,Admin
88,87,4,Sanish,Shrestha,Sanish Shrestha,ÿ2000-11-09,,110,140,113,121,fcSanish Shrestha.jpeg,,,,,,12/16/2019,Admin
89,88,4,Sanjog,Maharjan,Sanjog Maharjan,5/8/95,,110,142,113,121,fcSanjog Maharjan.jpeg,,,,,,12/16/2019,Admin
90,89,4,Saroj,Yonjan Lama,Saroj Yonjan Lama,ÿ1993-11-17,,110,140,113,121,fcSaroj Y Lama.jpeg,,,,,,12/16/2019,Admin
91,90,4,Sudans,Mahato,Sudans Mahato,ÿ1998-08-07,,110,,113,121,fcSudans Mahato.jpeg,,,,,,12/16/2019,Admin
92,91,4,Shakti,Rai,Shakti Rai, 1990-09-21,,110,142,113,121,fcShakti Rai.jpeg,1,,,,,12/16/2019,Admin
93,92,4,Raj,Kandangwa,Raj Kandangwa,ÿ1994-03-21,,110,141,113,121,fcRaj Kandangwa.jpeg,,,,,,12/16/2019,Admin
94,93,4,Yadu,Silwal,Yadu Silwal,ÿ1998-08-12,,110,142,113,121,fcYadu Silwal.jpeg,,,,,,12/16/2019,Admin
95,94,4,Nisen,Subba,Nisen Subba,ÿ2003-03-27,,110,142,113,121,fcNisen Subba.jpeg,,,,,,12/16/2019,Admin
96,95,4,Sujan,Pulami,Sujan Pulami,ÿ2002-01-18,,110,140,113,121,fcSujan Pulami.jpeg,,,,,,12/16/2019,Admin
97,96,4,Mahesh,Shah,Mahesh Shah,ÿ2003-02-11,,110,142,113,121,fcMahesh Shah.jpeg,,,,,,12/16/2019,Admin
98,97,4,Ajit,Magar,Ajit Magar,ÿ2000-03-04,,110,140,113,121,fcAjit Magar.jpeg,,,,,,12/16/2019,Admin
99,98,4,Bicky,Thapa,Bicky Thapa,7/6/89,,110,141,113,121,fcBicky Thapa.jpeg,,,,,,12/16/2019,Admin
100,99,4,Bishow,Adhikari,Bishow Adhikari,ÿ1993-05-02,,110,141,113,121,fcBishow Adhikari.jpeg,,,,,,12/16/2019,Admin
101,100,4,Anil,Maharjan,Anil Maharjan,ÿ2002-04-09,,110,141,113,121,fcAnil Maharjan.jpeg,,,,,,12/16/2019,Admin
102,101,5,Khamir Glison,Kandangwa,Khamir Glison Kandangwa,ÿ1993-03-06,,110,,113,121,hycKhamir G Kandangwa.jpeg,,,,,,12/16/2019,Admin
103,102,5,Rabi,Thapa Magar,Rabi Thapa Magar,ÿ1993-02-23,,110,,113,121,hycRabi T Magar.jpeg,,,,,,12/16/2019,Admin
104,103,5,Kshitiz,Khadka,Kshitiz Khadka,ÿ1997-03-23,,110,,113,121,hycKshitiz Khadka.jpeg,,,,,,12/16/2019,Admin
105,104,5,Kailash,Basnet,Kailash Basnet,ÿ2000-02-17,,110,,113,121,hycKailash Basnet.jpeg,,,,,,12/16/2019,Admin
