102,102,5,Khamir Glison,Kandangwa,Khamir Glison Kandangwa,3/6/1993,,110,,113,121,hycKhamir G Kandangwa.jpeg,,,,,,12/16/2019,Admin
103,103,5,Rabi,Thapa Magar,Rabi Thapa Magar,2/23/1993,,110,,113,121,hycRabi T Magar.jpeg,,,,,,12/16/2019,Admin
104,104,5,Kshitiz,Khadka,Kshitiz Khadka,3/23/1997,,110,,113,121,hycKshitiz Khadka.jpeg,,,,,,12/16/2019,Admin
105,105,5,Kailash,Basnet,Kailash Basnet,2/17/2000,,110,,113,121,hycKailash Basnet.jpeg,,,,,,12/16/2019,Admin
106,106,5,Chiring,Tamang Lama,Chiring Tamang Lama,4/7/2002,,110,,113,121,hycChiring T Lama.jpeg,,,,,,12/16/2019,Admin
107,107,5,Ashish,Gurung,Ashish Gurung,4/15/1996,,110,,113,121,hycAshish Gurung.jpeg,,1,,,,12/16/2019,Admin
108,108,5,Kishor,Giri,Kishor Giri,12/14/1995,,110,139,113,121,hycKishor Giri.jpeg,,1,,,,12/16/2019,Admin
109,109,5,Bishwash,Shrestha,Bishwash Shrestha,4/10/1997,,110,,113,121,hycBishwash Shrestha.jpeg,,,,,,12/16/2019,Admin
110,110,5,Diwash,Urau,Diwash Urau,8/23/1998,,110,,113,121,hycDiwash Urau.jpeg,,,,,,12/16/2019,Admin
111,111,5,Niraj,Basnet,Niraj Basnet,9/20/1995,,110,,113,121,hycNiraj Basnet.jpeg,,,,,,12/16/2019,Admin
112,112,5,Bikash,Rai,Bikash Rai,12/12/1988,,110,,113,121,hycBikash Rai.jpeg,,,,,,12/16/2019,Admin
113,113,5,Binod,Gurung,Binod Gurung,5/14/1996,,110,,113,121,hycBinod Gurung.jpeg,,,,,,12/16/2019,Admin
114,114,5,Chop Bahadur,Uchai,Chop Bahadur Uchai,2/21/2000,,110,,113,121,hycChop B Uchai.jpeg,,,,,,12/16/2019,Admin
115,115,5,Abhimanyu,Poudel,Abhimanyu Poudel,12/30/2000,,110,,113,121,hycAbhimanyu Poudel.jpeg,,,,,,12/16/2019,Admin
116,116,5,Suraj,Hamal,Suraj Hamal,1/2/1997,,110,,113,121,hycSuraj Hamal.jpeg,,,,,,12/16/2019,Admin
117,117,5,Ulrich,Siewe,Ulrich Siewe,2/17/1996,,110,,120,121,hycUlrich Siewe.jpeg,,,,,2,12/16/2019,Admin
118,118,5,Stephane Samir Dieu Beni,Binong,Stephane Samir Dieu Beni Binong,8/7/1997,,110,,113,121,hycStephane S D B Binong.jpeg,,,,,S,12/16/2019,Admin
119,119,5,Sunil,Lama,Sunil Lama,6/11/2000,,110,,113,121,hycSunil Lama.jpeg,,,,,,12/16/2019,Admin
120,120,5,Nirajan,Gurung,Nirajan Gurung,5/18/1994,,110,,113,121,hycNirajan Gurung.jpeg,,,,,,12/16/2019,Admin
121,121,5,Bishal,Shrestha,Bishal Shrestha,8/13/2000,,110,,113,121,hycBishal Shrestha.jpeg,,,,,,12/16/2019,Admin
122,122,5,Roshan,Thakuri,Roshan Thakuri,12/17/1997,,110,,113,121,hycRoshan Thakuri.jpeg,,,,,,12/16/2019,Admin
123,123,5,Samundra,Pudasaini,Samundra Pudasaini,8/10/2000,,110,,113,121,hycSamundra Pudasaini.jpeg,,,,,,12/16/2019,Admin
124,124,5,Man Bahadur,Tamang (Captain),Man Bahadur Tamang (Captain),3/3/1994,,110,,113,121,hycMan B Tamang.jpeg,,,,,,12/16/2019,Admin
125,125,5,Bijaya,Shrestha,Bijaya Shrestha,2/2/1999,,110,,113,121,hycBijaya Shrestha.jpeg,,,,,,12/16/2019,Admin
126,126,5,Tridev,Gurung,Tridev Gurung,7/20/1996,,110,,113,121,hycTridev Gurung.jpeg,1,,,,,12/16/2019,Admin
127,127,5,Bhison,Gurung,Bhison Gurung,3/17/1996,,110,,113,121,hycBhison Gurung.jpeg,,,,,,12/16/2019,Admin
128,128,5,Sanjay,Dhimal,Sanjay Dhimal,8/17/2000,,110,,113,121,hycSanjay Dhimal.jpeg,,,,,,12/16/2019,Admin
129,129,6,Fode,Fofana,Fode Fofana,10/12/1996,,110,,120,121,jycFode Fofana.jpeg,,,,,,12/16/2019,Admin
130,130,6,Gautam,Shrestha,Gautam Shrestha,2/21/2000,,110,,113,121,jycGautam Shrestha.jpeg,,,,,,12/16/2019,Admin
131,131,6,Kuldip,Karki,Kuldip Karki,1/16/1992,,110,,113,121,jycKuldip Karki.jpeg,,,,,,12/16/2019,Admin
132,132,6,Suraj Jeu,Thakuri,Suraj Jeu Thakuri,12/19/2000,,110,,113,121,jycSuraj Jeu Thakuri.jpeg,,,,,,12/16/2019,Admin
133,133,6,Tekendra,Thapa,Tekendra Thapa,8/18/1994,,110,,113,121,jycTekendra Thapa.jpeg,,,,,,12/16/2019,Admin
134,134,6,Aruj,Singh,Aruj Singh,10/5/1999,,110,,113,121,jycAruj Singh.jpeg,,,,,1,12/16/2019,Admin
135,135,6,Suraj,Ghimire,Suraj Ghimire,2/23/1995,,110,,113,121,jycSurajGhimire.jpeg,,,,,,12/16/2019,Admin
136,136,6,Dady junior,Wamba,Dady junior Wamba,1/20/1998,,110,,120,121,jycDady J Wamba.jpeg,2,,,,1,12/16/2019,Admin
137,137,6,Dilan,Loktam,Dilan Loktam,9/19/1986,,110,,113,121,jycDilan Loktam.jpeg,,,,,,12/16/2019,Admin
138,138,6,Sameer,Karki,Sameer Karki,5/31/1992,,110,,113,121,jycSameer Karki.jpeg,,,,,,12/16/2019,Admin
139,139,6,Bijay,Ghalan,Bijay Ghalan,10/2/1992,,110,,113,121,jycBijay Ghalan .jpeg,,,,,,12/16/2019,Admin
140,140,6,Bimal,Ghising,Bimal Ghising,6/19/2000,,110,,113,121,jycBimal Ghising.jpeg,,,,,,12/16/2019,Admin
141,141,6,Manish,Paudel,Manish Paudel,8/11/1999,,110,,113,121,jycManish Paudel.jpeg,,,,,,12/16/2019,Admin
142,142,6,Gaurab,Shrestha,Gaurab Shrestha,10/20/1996,,110,,113,121,jycGaurab Shrestha.jpeg,,,,,,12/16/2019,Admin
143,143,6,Abisek,Waiba,Abisek Waiba,2/10/2004,,110,,113,121,jycAbisek Waiba.jpeg,,,,,,12/16/2019,Admin
144,144,6,Arun,Blon,Arun Blon,5/1/1998,,110,,113,121,jycArun Blon.jpeg,,,,,,12/16/2019,Admin
145,145,6,Sujit,Budhathoki,Sujit Budhathoki,10/26/1995,,110,,113,121,jycSujit Budhathoki.jpeg,,,,,,12/16/2019,Admin
146,146,6,Yogya,Pradhan,Yogya Pradhan,6/30/1998,,110,,113,121,jycYogya Pradhan.jpeg,,,,,,12/16/2019,Admin
147,147,6,Bishal,Tamang,Bishal Tamang,9/3/1998,,110,,113,121,jycBishal Tamang.jpeg,,,,,,12/16/2019,Admin
148,148,6,Nir Bahadur,Ale,Nir Bahadur Ale,7/12/1992,,110,,113,121,jycNir Bahadur Ale.jpeg,,,,,,12/16/2019,Admin
149,149,6,Rajeev,Dhungana,Rajeev Dhungana,11/11/1994,,110,,113,121,jycRajeev Dhungana.jpeg,,,,,,12/16/2019,Admin
150,150,6,Rup Bahadur,Lama,Rup Bahadur Lama,6/18/1994,,110,,113,121,jycRup B Lama.jpeg,,,,,,12/16/2019,Admin
151,151,6,Sushil Kumar,Yadav,Sushil Kumar Yadav,8/11/1994,,110,,113,121,jycSushil K Yadav.jpeg,,,,,,12/16/2019,Admin
152,152,6,Adama,Doumbia,Adama Doumbia,2/28/1997,,110,,120,121,jycAdama Doumbia.jpeg,,,,,,12/16/2019,Admin
153,153,6,Hari,Kathayat,Hari Kathayat,7/13/1990,,110,,113,121,jycHari Kathayat.jpeg,,,,,,12/16/2019,Admin
154,154,7,Andres,Nia Tchounkeu,Andres Nia Tchounkeu,2/8/1995,,110,,120,121,mcAndres.jpeg,,,,,,12/16/2019,Admin
155,155,7,Ranjit,Dhimal,Ranjit Dhimal,4/4/1991,Morang,110,140,113,121,mcRanjit Dhimal.jpeg,,1,,,,12/16/2019,Admin
156,156,7,Buddha Raj,Limbu,Buddha Raj Limbu,9/12/1984,Jhapa,110,141,113,121,mcBuddhaChemjong.jpeg,,,,,,12/16/2019,Admin
157,157,7,Peter,Segun,Peter Segun,6/30/1993,Morang,110,140,120,121,mcPeter Segun.jpeg,1,,,,,12/16/2019,Admin
158,158,7,Bijay,Dhimal,Bijay Dhimal,10/4/1986,Morang,110,140,113,121,mcBijay Dhimal.jpeg,,,,,,12/16/2019,Admin
159,159,7,Abhishek,Rijal,Abhishek Rijal,1/29/2000,,110,142,113,121,mcAbhishek Rijal.jpeg,,,,,,12/16/2019,Admin
160,160,7,Rejin,Subba,Rejin Subba,2/5/2002,,110,142,113,121,mcRejin Subba.jpeg,1,,,,,12/16/2019,Admin
161,161,7,Biraj,Maharjan(Captain),Biraj Maharjan(Captain),9/18/1990,Kathmandu,110,140,113,121,mcBiraj Maharjan.jpeg,,,,,,12/16/2019,Admin
162,162,7,Bishal,Rai,Bishal Rai,9/22/1993,Jhapa,110,141,113,121,mcBishalRai.jpeg,,2,,,,12/16/2019,Admin
163,163,7,Dipak,Rai,Dipak Rai,9/10/1988,Jhapa,110,142,113,121,mcDipak Rai.jpeg,1,,,,,12/16/2019,Admin
164,164,7,Heman,Gurung,Heman Gurung,10/1/1995,,110,141,113,121,mcHeman Gurung.jpeg,,,,,,12/16/2019,Admin
165,165,7,Sujal,Shrestha,Sujal Shrestha,2/4/1993,Hetauda,110,141,113,121,mcSujal Shrestha.jpeg,,,,,,12/16/2019,Admin
166,166,7,Bishal,Shrestha,Bishal Shrestha,9/12/1990,Kathmandu,110,139,113,121,mcBishal Shrestha,,,2,,,12/16/2019,Admin
167,167,7,Devendra,Tamang,Devendra Tamang,10/21/1993,Jhapa,110,140,113,121,mcDevendra Tamang.jpeg,1,1,,,,12/16/2019,Admin
168,168,7,Yogesh,Gurung,Yogesh Gurung,8/4/1990,Jhapa,110,141,113,121,mcYogesh Gurung.jpeg,1,,,,,12/16/2019,Admin
169,169,7,Biman Prasad,Rai,Biman Prasad Rai,4/27/1996,,110,140,113,121,mc Biman Prasad Rai.jpeg,,,,,,12/16/2019,Admin
170,170,7,Abhishek,Khadgi,Abhishek Khadgi,4/24/1994,,110,140,113,121,mcAbhishek Khadgi.jpeg,,,,,,12/16/2019,Admin
171,171,7,Bijay,Dhakal,Bijay Dhakal,5/21/1997,,110,140,113,121,mcBijay Dhakal.jpeg,,,,,,12/16/2019,Admin
172,172,7,Binaya Man,Rajbanshi,Binaya Man Rajbanshi,5/30/1988,,110,140,113,121,mcBinaya Man Rajbanshi.jpeg,,,,,,12/16/2019,Admin
173,173,7,Dikesh Man,Dangol,Dikesh Man Dangol,8/19/1987,,110,141,113,121,mcDikesh Man Dangol.jpeg,,,,,,12/16/2019,Admin
174,174,7,Kushal,Giri,Kushal Giri,9/14/1994,,110,139,113,121,mcKushalGiri.jpeg,,,,,,12/16/2019,Admin
175,175,7,Lilen,Karanjit,Lilen Karanjit,12/11/1988,,110,141,113,121,mcLilen Karanjit.jpeg,,,,,,12/16/2019,Admin
176,176,7,Manil Ratna,Shahi,Manil Ratna Shahi,3/22/1986,,110,141,113,121,mcManil Ratna Shahi.jpeg,,,,,,12/16/2019,Admin
177,177,7,Nabin,Shrestha,Nabin Shrestha,12/16/1992,,110,141,113,121,mcNabinShrestha.jpeg,,,,,,12/16/2019,Admin
178,178,7,Pradeep,Karki,Pradeep Karki,11/22/1989,,110,142,113,121,mcPradeep Karki.jpeg,,,,,,12/16/2019,Admin
179,179,7,Pramod,Shrestha,Pramod Shrestha,9/5/1987,,110,,113,121,mcPramod Shrestha.jpeg,,,,,,12/16/2019,Admin
180,180,7,Surya,Adhikari,Surya Adhikari,10/21/2001,,110,,113,121,mcSurya Adhikari.jpeg,,,,,,12/16/2019,Admin
181,181,8,Amar,Gurung,Amar Gurung,2/19/1986,,110,140,113,121,mmcAmar Gurung.jpeg,,,,,,12/16/2019,Admin
182,182,8,Karma Tashi ,Gurung,Karma Tashi  Gurung,12/9/1991,,110,,113,121,mmckarma T Gurung.jpeg,,,,,,12/16/2019,Admin
183,183,8,Raj Kumar,Pandit,Raj Kumar Pandit,1/15/2000,,110,140,113,121,mmcRaj Kumar Pandit.jpeg,,,,,,12/16/2019,Admin
184,184,8,Sunny,Gurung,Sunny Gurung,2/26/1986,,110,139,113,121,mmcSunny Gurung.jpeg,,,,,,12/16/2019,Admin
185,185,8,Tashi Namgyal,Gurung,Tashi Namgyal Gurung,4/12/1984,,110,?139,113,121,mmcTashi Namgyal Gurung.jpeg,,,,,,12/16/2019,Admin
